"","target_c","targetFQCN_c","teaching_c","step_c","ccna_c","idau_c","edge_dencity_c","graph_degree_c","eccentricity_centrality_c","centralization_c","page_rank_c","bonpow_c","betweenness_c"
"1","org.apache.catalina.manager.host.HostManagerServlet_booleanParameter","org.apache.catalina.manager.host.HostManagerServlet",1,31,17,0.290322580645161,0.0666666666666667,1.03333333333333,9.14938835074544e-06,48700.3019230769,0.042088099725787,0.156859426258138,870.503571428571
"2","org.apache.catalina.manager.host.HostManagerServlet_destroy","org.apache.catalina.manager.host.HostManagerServlet",1,NA,1,NA,0.5,0,0.125,90410.0571428571,0.105570944906125,1,0
"3","org.apache.catalina.manager.host.HostManagerServlet_doGet","org.apache.catalina.manager.host.HostManagerServlet",1,51,20,0.313725490196078,0.0294871794871795,0.830769230769231,5.23715277476062e-07,33305.8790181181,0.0236171112014106,0.118497922012987,10909.7333333333
"4","org.apache.catalina.manager.host.HostManagerServlet_getConfigBase","org.apache.catalina.manager.host.HostManagerServlet",1,29,10,0.482758620689655,0.0446153846153846,0.264615384615385,1.56819339198104e-06,43420.4727272727,0.034438838221999,0.151109542124082,2157.76
"5","org.apache.catalina.manager.host.HostManagerServlet_getStringManager","org.apache.catalina.manager.host.HostManagerServlet",1,15,5,0.533333333333333,0.0714285714285714,0.428571428571429,6.95930097699198e-06,29333.1345811052,0.0550021869866961,0.212380940911509,580.066666666667
"6","org.apache.catalina.manager.host.HostManagerServlet_init","org.apache.catalina.manager.host.HostManagerServlet",1,25,5,0.64,0.0657894736842105,1.10526315789474,8.44707219419973e-07,49913.9392712551,0.0436079864748296,0.242018665695612,186.194736842105
"7","org.apache.catalina.manager.host.HostManagerServlet_list","org.apache.catalina.manager.host.HostManagerServlet",1,54,10,0.611111111111111,0.0211764705882353,0.185882352941176,1.99616776249278e-07,14420.6315594113,0.0185346825775696,0.0724031969047977,77232.9584313725
"8","org.apache.catalina.manager.host.HostManagerServlet_remove","org.apache.catalina.manager.host.HostManagerServlet",1,78,18,0.538461538461538,0.0199692780337942,1.47926267281106,1.1414714042018e-07,24085.0672990063,0.0152890292743073,0.186317007065898,47458.6180235535
"9","org.apache.catalina.manager.host.HostManagerServlet_setWrapper","org.apache.catalina.manager.host.HostManagerServlet",1,23,3,0.782608695652174,0.0454545454545455,0.181818181818182,1.8039100990446e-06,46441.6358885017,0.0385866780389931,0.0868592426412153,375.521739130435
"10","org.apache.catalina.manager.host.HostManagerServlet_start","org.apache.catalina.manager.host.HostManagerServlet",1,73,14,0.547945205479452,0.0193019566367002,0.855631940772078,9.28795950197177e-08,24378.55,0.0154779320558771,0.15963262638498,43857.5198307774
"11","org.apache.catalina.manager.host.HostManagerServlet_stop","org.apache.catalina.manager.host.HostManagerServlet",1,73,14,0.547945205479452,0.0193019566367002,0.855631940772078,9.28795950197177e-08,24378.55,0.0154779320558771,0.15963262638498,43857.5198307774
"12","org.apache.catalina.manager.HTMLManagerServlet_deployInternal","org.apache.catalina.manager.HTMLManagerServlet",1,13,0,0.307692307692308,0.0714285714285714,0.131868131868132,3.64245068968979e-06,58685.9659090909,0.0581386632349052,0.0798619984671817,224
"13","org.apache.catalina.manager.HTMLManagerServlet_displaySessionDetailPage","org.apache.catalina.manager.HTMLManagerServlet",1,15,0,0.266666666666667,0.0625,0.116666666666667,2.05315346318231e-06,55438.9966386555,0.0521701430865413,0.0692454632282871,380.8
"14","org.apache.catalina.manager.HTMLManagerServlet_doGet","org.apache.catalina.manager.HTMLManagerServlet",1,72,27,0.458333333333333,0.0214761040532365,1.05868118572293,2.00536210637262e-07,25627.6404647984,0.0165611820602144,0.136210659503519,42472.6739261948
"15","org.apache.catalina.manager.HTMLManagerServlet_doPost","org.apache.catalina.manager.HTMLManagerServlet",1,73,32,0.452054794520548,0.0222222222222222,1.0962962962963,1.96029241517262e-07,26651.7795261014,0.0174489504006844,0.115434341583974,68240.2814814815
"16","org.apache.catalina.manager.HTMLManagerServlet_doSessions","org.apache.catalina.manager.HTMLManagerServlet",1,65,12,0.538461538461538,0.0177595628415301,0.149180327868852,6.32848193911728e-08,24679.2707278481,0.0156683325137484,0.0795393552312981,58636.6819672131
"17","org.apache.catalina.manager.HTMLManagerServlet_expireSessions","org.apache.catalina.manager.HTMLManagerServlet",1,20,4,0.4,0.065359477124183,0.65359477124183,7.97982061697286e-06,52531.8558558559,0.047642851199911,0.234030175318696,446.771241830065
"18","org.apache.catalina.manager.HTMLManagerServlet_findleaks","org.apache.catalina.manager.HTMLManagerServlet",1,26,5,0.384615384615385,0.0433333333333333,0.243333333333333,8.0635456270404e-07,44382.9402748414,0.0357029105766982,0.107081727361099,2818.47333333333
"19","org.apache.catalina.manager.HTMLManagerServlet_getComparator","org.apache.catalina.manager.HTMLManagerServlet",1,82,29,0.5,0.0177884615384615,1.10961538461538,1.84130559961239e-07,23518.7956110155,0.0150210206375534,0.100845535292802,42818.975
"20","org.apache.catalina.manager.HTMLManagerServlet_getSessionForNameAndId","org.apache.catalina.manager.HTMLManagerServlet",1,19,7,0.421052631578947,0.0620915032679739,0.339869281045752,6.41053922920994e-06,26971.6186186186,0.0473113253291056,0.175333304742674,694.330065359477
"21","org.apache.catalina.manager.HTMLManagerServlet_getSessionsForName","org.apache.catalina.manager.HTMLManagerServlet",1,70,20,0.5,0.0173611111111111,0.25,6.96927318585068e-09,12955.3358801058,0.0149405171378905,0.122083355527899,38056.1746031746
"22","org.apache.catalina.manager.HTMLManagerServlet_init","org.apache.catalina.manager.HTMLManagerServlet",1,7,0,0.714285714285714,0.125,0.214285714285714,4.36015391203131e-05,71185.6153846154,0.0874460647323487,0.147861722491073,24
"23","org.apache.catalina.manager.HTMLManagerServlet_invalidateSessions","org.apache.catalina.manager.HTMLManagerServlet",1,58,17,0.448275862068966,0.0315614617940199,2.47065337763012,7.51402346315975e-07,16171.698295581,0.022003740955256,0.204618909536548,72839.0487264673
"24","org.apache.catalina.manager.HTMLManagerServlet_list","org.apache.catalina.manager.HTMLManagerServlet",1,3,0,0.333333333333333,0.00232793522267206,0.214517061885483,9.04097803881398e-12,7826.87697737231,0.00217909182179079,0.071156537071246,83799426.8805041
"25","org.apache.catalina.manager.HTMLManagerServlet_reload","org.apache.catalina.manager.HTMLManagerServlet",1,11,0,0.363636363636364,0.0833333333333333,0.151515151515152,7.11430493881877e-06,62335.864516129,0.0655884694355531,0.0943226733928178,121.333333333333
"26","org.apache.catalina.manager.HTMLManagerServlet_removeSessionAttribute","org.apache.catalina.manager.HTMLManagerServlet",1,42,10,0.476190476190476,0.0298719772403983,0.278805120910384,4.99787733859504e-08,34452.5977443609,0.0244082897933581,0.143532820270571,3856.0746799431
"27","org.apache.catalina.manager.HTMLManagerServlet_sessions","org.apache.catalina.manager.HTMLManagerServlet",1,12,0,0.333333333333333,0.0769230769230769,0.141025641025641,5.01978699426067e-06,60456.0151209677,0.0616478197170766,0.0864921781018125,166.833333333333
"28","org.apache.catalina.manager.HTMLManagerServlet_start","org.apache.catalina.manager.HTMLManagerServlet",1,11,0,0.363636363636364,0.0833333333333333,0.151515151515152,7.11430493881877e-06,62335.864516129,0.0655884694355531,0.0943226733928178,121.333333333333
"29","org.apache.catalina.manager.HTMLManagerServlet_stop","org.apache.catalina.manager.HTMLManagerServlet",1,11,0,0.363636363636364,0.0833333333333333,0.151515151515152,7.11430493881877e-06,62335.864516129,0.0655884694355531,0.0943226733928178,121.333333333333
"30","org.apache.catalina.manager.HTMLManagerServlet_undeploy","org.apache.catalina.manager.HTMLManagerServlet",1,11,0,0.363636363636364,0.0833333333333333,0.151515151515152,7.11430493881877e-06,62335.864516129,0.0655884694355531,0.0943226733928178,121.333333333333
"31","org.apache.catalina.manager.HTMLManagerServlet_upload","org.apache.catalina.manager.HTMLManagerServlet",1,151,38,0.56953642384106,0.0291925465838509,47.1006211180124,2.90925484592228e-07,22213.1138917263,0.0143852748693342,0.117643869062716,76056.4890499195
"32","org.apache.catalina.manager.ManagerServlet_addServiced","org.apache.catalina.manager.ManagerServlet",1,11,0,0.636363636363636,0.0833333333333333,0.151515151515152,7.11430493881877e-06,62335.864516129,0.0655884694355531,0.0943226733928178,121.333333333333
"33","org.apache.catalina.manager.ManagerServlet_check","org.apache.catalina.manager.ManagerServlet",1,11,0,0.636363636363636,0.0833333333333333,0.151515151515152,7.11430493881877e-06,62335.864516129,0.0655884694355531,0.0943226733928178,121.333333333333
"34","org.apache.catalina.manager.ManagerServlet_copy","org.apache.catalina.manager.ManagerServlet",1,24,7,0.541666666666667,0.114285714285714,3.31428571428571,4.63946067093416e-05,57016.3930481283,0.0572118156367734,0.228176951071639,98.3738095238095
"35","org.apache.catalina.manager.ManagerServlet_copyInternal","org.apache.catalina.manager.ManagerServlet",1,137,48,0.357664233576642,0.0251509054325956,7.59597585513078,1.01984353762959e-07,11196.4578525702,0.0136081287573738,0.405614716676087,510715.292655936
"36","org.apache.catalina.manager.ManagerServlet_deploy","org.apache.catalina.manager.ManagerServlet",1,343,85,0.513119533527697,0.012379896526238,59.8987435328899,9.79658325292747e-09,5606.6139976597,0.0060447173297454,0.308786515847546,2151009.57141537
"37","org.apache.catalina.manager.ManagerServlet_destroy","org.apache.catalina.manager.ManagerServlet",1,NA,1,NA,0.5,0,0.125,90410.0571428571,0.105570944906125,1,0
"38","org.apache.catalina.manager.ManagerServlet_doGet","org.apache.catalina.manager.ManagerServlet",1,134,62,0.350746268656716,0.0129385964912281,2.25087719298246,2.75313985617297e-08,17236.723569794,0.0102554305070648,0.112203176042199,504401.023574561
"39","org.apache.catalina.manager.ManagerServlet_doPut","org.apache.catalina.manager.ManagerServlet",1,44,13,0.454545454545455,0.0296896086369771,0.406207827260459,2.29201827402146e-07,33869.5417422868,0.0238623047417978,0.111611375259416,16296.3333333333
"40","org.apache.catalina.manager.ManagerServlet_expireSessions","org.apache.catalina.manager.ManagerServlet",1,21,4,0.333333333333333,0.0614035087719298,0.619883040935672,6.10553379521961e-06,51189.5056899004,0.0454655031487417,0.226282108424845,611.923976608187
"41","org.apache.catalina.manager.ManagerServlet_findleaks","org.apache.catalina.manager.ManagerServlet",1,39,14,0.435897435897436,0.0347593582887701,0.39572192513369,9.99768656078056e-07,18911.1201946383,0.0271478029968691,0.131335622993492,5775.41265597148
"42","org.apache.catalina.manager.ManagerServlet_getWrapper","org.apache.catalina.manager.ManagerServlet",1,2,0,0.5,0.333333333333333,0.333333333333333,0.00694444444444444,86519.9935064935,0.125158046981784,0.508196721311475,0.333333333333333
"43","org.apache.catalina.manager.ManagerServlet_init","org.apache.catalina.manager.ManagerServlet",1,100,24,0.62,0.0136798905608755,0.457455540355677,8.08903331786146e-09,9695.46738951757,0.0112476071356133,0.129235323463181,375622.759233926
"44","org.apache.catalina.manager.ManagerServlet_isServiced","org.apache.catalina.manager.ManagerServlet",1,13,0,0.769230769230769,0.0714285714285714,0.131868131868132,3.64245068968979e-06,58685.9659090909,0.0581386632349052,0.0798619984671817,224
"45","org.apache.catalina.manager.ManagerServlet_list","org.apache.catalina.manager.ManagerServlet",1,65,12,0.661538461538462,0.0177595628415301,0.215846994535519,1.43239345754829e-07,12664.3304118809,0.0156740707440728,0.0722966601009875,205170.755191257
"46","org.apache.catalina.manager.ManagerServlet_printResources","org.apache.catalina.manager.ManagerServlet",1,99,19,0.535353535353535,0.0297619047619048,19.9404761904762,1.08819555839588e-07,13268.2295588385,0.0170849630825116,0.157850622767547,61938.1885964912
"47","org.apache.catalina.manager.ManagerServlet_reload","org.apache.catalina.manager.ManagerServlet",1,83,12,0.626506024096386,0.0279461279461279,10.4626262626263,2.1234154250953e-07,26651.7795261014,0.017500613478274,0.179329755169779,25060.9515151515
"48","org.apache.catalina.manager.ManagerServlet_removeServiced","org.apache.catalina.manager.ManagerServlet",1,11,0,0.636363636363636,0.0833333333333333,0.151515151515152,7.11430493881877e-06,62335.864516129,0.0655884694355531,0.0943226733928178,121.333333333333
"49","org.apache.catalina.manager.ManagerServlet_resources","org.apache.catalina.manager.ManagerServlet",1,54,14,0.444444444444444,0.0249768732654949,0.431082331174838,2.02903543491878e-07,29830.4916083916,0.0200596156300709,0.164832881955322,19493.9500462535
"50","org.apache.catalina.manager.ManagerServlet_save","org.apache.catalina.manager.ManagerServlet",1,85,18,0.529411764705882,0.0201923076923077,1.52788461538462,7.70020925188748e-08,23518.7956110155,0.0147857048808499,0.213121257923028,35413.3884615385
"51","org.apache.catalina.manager.ManagerServlet_serverinfo","org.apache.catalina.manager.ManagerServlet",1,68,4,0.367647058823529,0.0394889663182346,14.4785133565621,4.12959933978653e-07,32232.9901639344,0.0228648760050597,0.137906939271521,6312.49941927991
"52","org.apache.catalina.manager.ManagerServlet_setWrapper","org.apache.catalina.manager.ManagerServlet",1,46,4,0.695652173913043,0.0274390243902439,0.410975609756098,1.89533514625208e-07,32760.6584745763,0.0227753591765461,0.123575952008115,12009.2804878049
"53","org.apache.catalina.manager.ManagerServlet_start","org.apache.catalina.manager.ManagerServlet",1,85,13,0.611764705882353,0.0263157894736842,9.26503759398496,1.50386678268939e-07,25960.1647368421,0.0168664122612115,0.175781204410107,38349.9154135338
"54","org.apache.catalina.manager.ManagerServlet_stop","org.apache.catalina.manager.ManagerServlet",1,79,11,0.620253164556962,0.0286647314949202,9.13425253991292,2.47430484626438e-07,27381.2376760563,0.0181104696478171,0.17689021217414,23445.1865021771
"55","org.apache.catalina.manager.ManagerServlet_threadDump","org.apache.catalina.manager.ManagerServlet",1,8,0,0.25,0.111111111111111,0.194444444444444,2.55119067756068e-05,68746.4484126984,0.0808521886269656,0.129488954818185,38.5
"56","org.apache.catalina.manager.ManagerServlet_undeploy","org.apache.catalina.manager.ManagerServlet",1,273,46,0.56043956043956,0.0193394176445024,79.875416485586,4.02655894541063e-08,14489.7881064835,0.00850807483863127,0.195079749973603,385786.193249312
"57","org.apache.catalina.manager.ManagerServlet_undeployDir","org.apache.catalina.manager.ManagerServlet",1,26,11,0.461538461538462,0.0513833992094862,0.383399209486166,2.36706317548103e-06,23803.7564105182,0.0384144474088483,0.171899687859618,3966.08498023715
